Date,Strategy,^TA125.TA
2025-01-17,165732.08319048584,139989.03698853063
2025-01-20,168973.23262437023,141449.56880673527
2025-01-21,168788.22107063347,141393.4686800728
2025-01-22,166589.97163073867,140406.87520077068
2025-01-23,167718.03400176074,139489.46921765117
2025-01-24,165474.97579150018,139489.46921765117
2025-01-27,163952.69280569052,136498.11417076027
2025-01-28,163129.64080865498,136675.71137116902
2025-01-29,164318.05677573147,137395.35709270855
2025-01-30,164340.30611380993,136367.91878434515
2025-01-31,165148.6986243249,136367.91878434515
2025-02-03,166390.99279839607,136436.5609734644
2025-02-04,168911.2414958287,138404.281561263
2025-02-05,173190.58212176495,140600.8183129073
2025-02-06,173260.075347803,140337.14239752473
2025-02-07,172838.6063544856,140337.14239752473
2025-02-10,176594.21631888757,141148.31990467146
2025-02-11,176617.5749346694,140064.20956223767
2025-02-12,173714.29654345504,137985.8980419596
2025-02-13,175772.76656380814,140372.01544923385
2025-02-14,177169.009829216,140372.01544923385
2025-02-17,178324.5865594275,140214.56800982406
2025-02-18,180290.84240004534,142310.86136302003
2025-02-19,178959.9762008084,141926.24698112678
2025-02-20,180001.53579180336,141151.03313981587
2025-02-21,179871.51331478587,141151.03313981587
2025-02-24,175601.13266262758,138417.35563061084
2025-02-25,173939.75485587673,138075.7806062045
2025-02-26,175445.93455881745,138650.52095079102
2025-02-27,176527.64135333613,138651.6115649177
2025-02-28,175485.5043960455,138651.6115649177
2025-03-03,176938.29128000824,139874.0835995444
2025-03-04,172397.85530659463,136942.10052169603
2025-03-05,171481.96338738585,138271.9049465945
2025-03-06,172365.88999442267,137403.53669865863
2025-03-07,172906.18689815386,137403.53669865863
2025-03-10,172901.17412374748,137818.64837558198
2025-03-11,172355.43150280626,137247.1798733755
2025-03-12,174946.3741408424,139319.50631612915
2025-03-13,177367.2025724883,140071.29855406107
2025-03-14,176228.20813696776,140071.29855406107
2025-03-17,181142.21512548896,141325.9171050802
2025-03-18,178001.73239463734,139847.9354608487
2025-03-19,172384.76292317177,138544.83778188156
2025-03-20,169723.77585001796,138044.1926970477
2025-03-21,169120.4141361,138044.1926970477
2025-03-24,163761.25528718022,135580.70818764076
2025-03-25,166519.35847684587,136088.98757136136
2025-03-26,163553.87535338293,134342.43554834952
2025-03-27,164875.53630036386,135799.70882434642
2025-03-28,165484.4681307591,135799.70882434642
2025-03-31,159043.48199534914,133418.49918064222
2025-04-01,158838.23428831474,134289.04865683144
2025-04-02,162473.7790633171,136481.22295196904
2025-04-03,160668.5919068975,135318.13618655712
2025-04-04,160554.02584422746,135318.13618655712
2025-04-07,151992.7137393158,131218.1585797268
2025-04-08,153221.6931524779,133318.8010892572
2025-04-09,149348.2506329966,131104.84111193058
2025-04-10,150115.46305133143,133890.28289163596
2025-04-11,152691.8030290767,133890.28289163596
2025-04-14,160040.91756782896,136957.90112636058
2025-04-15,163208.02770310183,137721.67681951367
2025-04-16,164403.6742269822,138259.92149137333
2025-04-17,164170.3147863714,138319.83876747917
2025-04-18,164170.32142221657,138319.83876747917
2025-04-21,160080.01255181644,136319.9716632882
2025-04-22,158115.09877719177,136843.50634460998
2025-04-23,161433.92918118523,139182.2219378906
2025-04-24,165260.7044995149,139237.79005766203
2025-04-25,166197.91790658867,139237.79005766203
2025-04-28,166223.32360112175,138996.45843170406
2025-04-29,167749.25310450804,139451.88293079764
2025-04-30,167453.95356293322,139451.88293079764
2025-05-01,166752.7234639559,139451.88293079764
2025-05-02,167887.56639486825,139451.88293079764
2025-05-05,169840.80371274147,141091.66117077335
2025-05-06,168969.74883286218,141843.45340870527
2025-05-07,174383.6592651854,144055.77746484187
2025-05-08,176542.84917966364,145571.34539592688
2025-05-09,176831.7408638684,145571.34539592688
2025-05-12,179225.83342947884,145286.42910541865
2025-05-13,179008.23354678813,145310.39601586098
2025-05-14,183361.66641177263,146344.37800898447
2025-05-15,183899.73704042233,146037.67603628724
2025-05-16,183223.23079965665,146037.67603628724
2025-05-19,187530.27054665866,146943.0852640133
2025-05-20,187250.2118301242,146369.98084061683
2025-05-21,186490.855656835,145110.46782619992
2025-05-22,184387.37887181263,143180.86553214592
2025-05-23,181843.14907641232,143180.86553214592
2025-05-26,187432.96217753665,146413.56550516706
2025-05-27,189813.951035159,146962.15771105787
2025-05-28,193082.95999434884,147797.834135538
2025-05-29,196970.09876692167,148577.41043335563
2025-05-30,196947.04772014805,148577.41043335563
2025-06-02,196090.35880565914,148577.41043335563
2025-06-03,197302.49303997893,148816.0288241692
2025-06-04,196200.67890600502,148500.05663139521
2025-06-05,200212.8916449283,150138.730957072
2025-06-06,199793.0516337909,150138.730957072
2025-06-09,200937.7810692835,149762.29618112883
2025-06-10,200767.68074312992,149544.38615854984
2025-06-11,201748.91667800694,150194.2990768434
2025-06-12,196602.5172636287,147551.04943894665
2025-06-13,192658.87264179238,147551.04943894665
2025-06-16,198499.6368851218,148370.39325187114
2025-06-17,206677.6660962073,152414.25743186675
2025-06-18,209902.2145216713,154879.90986935474
2025-06-19,215825.84523463892,156427.07900976884
2025-06-20,214448.2430195498,156427.07900976884
